Iteration,提案モデル,比較モデル,提案モデル,比較モデル,提案モデル,比較モデル,提案モデル(Pathあり),提案モデル(Pathあり),提案モデル(Pathあり),"提案モデル(Pathあり, データ3倍)","提案モデル(Pathあり, データ3倍)","提案モデル(Pathあり, データ3倍)",,,100（学習データ80）,提案Model,比較Model,提案Model(1step),提案Model(allstep),提案Model,比較Model,提案Model(1step),提案Model(allstep),提案Model,比較Model,提案Model(1step),提案Model(allstep),,,50（学習データ40）,提案Model,比較Model,提案Model(1step),提案Model(allstep),提案Model,比較Model,提案Model(1step),提案Model(allstep),提案Model,比較Model,提案Model(1step),提案Model(allstep),,,,学習データ数100,学習データ数100,学習データ数100,学習データ数200,学習データ数200,学習データ数200,学習データ数400,学習データ数400,学習データ数400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反復1500回,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,提案Model,,提案Model,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.612654959,0.306327479,0.67644165,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.653408669,,0.57668191,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.800601411,,0.72426237,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.565835235,,0.7760047,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.871742368,,0.72836247,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.063670218,,0.68902843,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.649425623,,0.63760725,,,,,,,,,,,,,,,,,,,,,,,,,,
,提案モデル,,提案Model,,,,,,,,,,,,,,,,,,,,,,,0.75761221,,0.59928519,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.855230541,0.572543411,1.145086822,,,,,,,,,,,,,,,,,,,,,,,0.788730512,,0.60739355,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.696653509,,1.36710407,,,,,,,,,,,,,,,,,,,,,,,0.703892682,,0.68647185,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.305006011,,1.940429428,,,,,,,,,,,,,,,,,,,,,,,0.701817583,,1.08185527,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.989836561,,1.116463677,,,,,,,,,,,,,,,,,,,,,,,0.648689582,,0.65908748,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.954712252,,2.136891481,,,,,,,,,,,,,,,,,,,,,,,0.729660048,,0.69755897,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.529129014,,2.801762853,,,,,,,,,,,,,,,,,,,,,,,0.740859695,,0.62617404,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.826021667,,1.326037416,,,,,,,,,,,,,,,,,,,,,,,0.714471329,,0.67247466,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.580479892,,1.760680326,,,,,,,,,,,,,,,,,,,,,,,0.591508909,,0.75982501,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.03303982,,1.709283315,,,,,,,,,,,,,,,,,,,,,,,0.645810793,,0.6748103,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.449885265,,1.618218274,,,,,,,,,,,,,,,,,,,,,,,0.787086954,,0.57628658,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.139417747,,1.68544757,,,,,,,,,,,,,,,,,,,,,,,0.661764459,,0.69049976,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.978929152,,1.482860523,,,,,,,,,,,,,,,,,,,,,,,0.627967712,,0.83975864,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.351158744,,1.565023821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.245361918,,1.773154342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.486710941,,1.713005153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.931775963,,1.111291625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.494244892,,1.387773701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.768005173,,1.48622704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.507906727,,1.429327801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.582754909,,1.245000565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
